Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,WEC,0,0,0,0,29640000000.0,42340000000.0,25.54,25.32,3.97,4.1,2.86,5.84,15.33,14.31,19.5,2.79,10.93,7650000000.0,24.26,-2.2,2670000000.0,2400000000.0,1100000000.0,3.45,0.5,20000000.0,0.06,12330000000.0,121.01,0.63,31.86,2280000000.0,-508900000.0,-0.0,90.2,92.91,2190000.0,315440000.0,314670000.0,0.17,77.62,4430000.0,2.44,1.61,4860000.0
0,0,RTN,0,0,0,0,32570000000.0,33740000000.000004,9.81,9.02,1.22,1.12,2.66,1.16,7.07,,,,,,,,7760000000.0,,,,,,,,,,,,,,116.96,203.58,5060000.0,,,,,,,,
0,0,GCI,0,0,0,0,,,,,,,,,,-0.73,4.27,2.94,-1.88,1580000000.0,26.42,-1.0,788320000.0,152110000.0,-11490000.0,-0.195,,28640000.0,0.48,554960000.0,88.64,0.92,10.42,136110000.0,134650000.0,1.06,1.0894,4.0092,4690000.0,132100000.0,54150000.0,5.47,86.41,21980000.0,4.58,16.9,16739999.999999998
0,0,CERN,0,0,0,0,,,,,,,,,,9.02,11.66,5.97,10.69,5620000000.0,17.43,6.7,4620000000.0,1110000000.0,506440000.0,1.56,-51.6,632700000.0,2.01,1170000000.0,26.57,2.21,14.05,1280000000.0,399610000.0,0.94,69.09,70.24,2670000.0,304350000.0,303060000.0,3.63,86.01,14970000.0,6.58,5.53,12320000.0
0,0,DTV,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,APOL,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,DISCA,0,0,0,0,10430000000.0,24850000000.0,7.53,7.89,0.92,1.38,1.17,2.23,3.51,16.81,33.91,7.14,18.35,11080000000.0,17.22,3.3,7390000000.0,5160000000.0,1660000000.0,2.22,123.9,825000000.0,1.19,16300000000.0,140.76,1.52,13.68,3100000000.0,5640000000.0,1.55,21.4,26.54,5720000.0,160020000.0,485790000.0,3.25,127.3,44400000.0,7.69,32.64,35810000.0
0,0,LH,0,0,0,0,,,,,,,,,,6.63,12.53,5.17,10.41,11390000000.0,115.48,3.4,3250000000.0,1900000000.0,754600000.0,7.59,-30.8,361100000.0,3.72,7440000000.0,102.58,1.17,74.24,1360000000.0,926140000.0,1.07,164.51,164.9,1250000.0,97200000.0,96540000.0,0.64,95.73,1700000.0,1.27,1.98,1400000.0
0,0,CVX,0,0,0,0,181430000000.0,205240000000.0,46.72,14.03,6.84,1.35,1.26,1.52,5.72,9.11,9.27,3.29,8.5,145630000000.0,77.13,-17.4,59750000000.0,31130000000.0,13260000000.0,6.97,-36.2,11750000000.0,6.22,36920000000.0,23.53,1.12,82.42,30810000000.0,13500000000.0,1.02,90.16,99.65,15280000.0,1870000000.0,1890000000.0,0.05,68.96,21330000.0,1.78,1.14,20060000.0
0,0,DOV,0,0,0,0,,,,,,,,,,9.09,14.45,7.56,23.16,7170000000.0,49.29,4.5,2630000000.0,1320000000.0,667770000.0,4.43,31.0,340530000.0,2.34,3260000000.0,108.04,1.42,20.77,948260000.0,717760000.0,1.46,91.1,102.2,1210000.0,143950000.0,144380000.0,0.95,88.94,1760000.0,1.86,1.4,1390000.0
0,0,RHI,0,0,0,0,6310000000.0,6340000000.0,14.65,22.52,,1.04,5.59,1.04,9.45,7.56,10.32,17.86,40.8,6020000000.0,51.52,5.9,2530000000.0,686820000.0,455160000.0,3.87,1.7,312740000.0,2.74,272130000.0,24.48,1.67,9.75,562050000.0,382750000.0,1.35,46.4,52.54,1660000.0,114600000.0,110700000.0,2.96,99.36,8750000.0,5.49,9.01,7700000.0
0,0,CA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ETR,0,0,0,0,,,,,,,,,,7.23,14.42,1.99,8.36,10930000000.0,57.16,1.2,4269999999.9999995,3320000000.0,790300000.0,4.09,-31.9,955830000.0,4.8,19680000000.0,191.24,0.72,50.4,2640000000.0,-2410000000.0,0.34,97.76,111.41,1760000.0,200160000.0,198330000.0,0.27,88.1,2330000.0,1.48,1.33,1700000.0
